name,id,indicator_group,indicator_topic,indicator_name,unit,url,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Angola,AO,Electricity,Access,Population without access to electricity-National (millions of people),Millions of people,/aep/country/angola,12.46221828,13.58661556,12.95104408,13.21564674,13.50785637,13.80409431,14.0823679,13.12355709,13.38204384,14.92780304,15.18993473,15.83893871,15.73528671,16.01497841,18.30591965,16.15839005,16.76943016,17.00676918,16.83349037,17.29244041,17.39851952,17.55735016,18.01898003
Angola,AO,Electricity,Access,Population without access to electricity-Rural (millions of people),Millions of people,/aep/country/angola,7.918887138,7.489099979,8.119943619,8.244051933,8.377344131,8.517086983,8.699376106,8.517560959,8.47840023,8.711005211,8.93776226,8.880882263,9.088358879,9.207175255,9.511388779,9.796585083,9.751387596,9.823251724,9.837945938,9.923754692,10.00832367,10.12492466,10.21875668
Angola,AO,Electricity,Access,Population without access to electricity-Urban (millions of people),Millions of people,/aep/country/angola,4.543334961,6.097513199,4.831099987,4.97159481,5.130514145,5.287004948,5.382994175,4.605998039,4.903639793,6.216792107,6.25217104,6.958062172,6.64692688,6.807806969,8.794531822,6.361820221,7.018050194,7.18351984,6.995550156,7.36868,7.390200138,7.432419777,7.800220013
Angola,AO,Electricity,Supply,Electricity export (GWh),GWh,/aep/country/angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Angola,AO,Electricity,Supply,Electricity final consumption (GWh),GWh,/aep/country/angola,1157,1313,1471,1629,1524,1980,2751,2625,3532,4024,4686,4875,5352,7087,8178,8384.165039,5744,9182.895508,11390.25684,11639.16699,11928.1416,12204.16211,NULL
Angola,AO,Electricity,Supply,Electricity final consumption per capita (KWh),KWh per capita,/aep/country/angola,70.37319183,77.31137848,83.70962524,89.48892212,80.78144073,101.2656174,135.7687073,125.0137482,162.3204956,178.4514618,200.5209503,201.2919006,213.2597961,272.5943298,303.7836914,300.9467163,199.3512726,308.3144531,370.1236877,366.1547546,363.3592529,360.0632324,NULL
Angola,AO,Electricity,Supply,Electricity generated from biofuels and waste (GWh),GWh,/aep/country/angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Angola,AO,Electricity,Supply,Electricity generated from fossil fuels (GWh),GWh,/aep/country/angola,533,587,634,754,752,906,294,720,796,999,1745,1644,1709.76001,3449,4439,4572,4546,3066.762695,2702.246094,2751.809082,2803.543945,2857.484375,NULL
Angola,AO,Electricity,Supply,Electricity generated from geothermal energy (GWh),GWh,/aep/country/angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Angola,AO,Electricity,Supply,Electricity generated from hydropower (GWh),GWh,/aep/country/angola,912,1017,1143,1241,1491,1747,2665,2497,3134,3173,3703,4007,4287.490234,4587.614258,5041,5192,5815,7653.07666,10374.32031,10754.78711,11187.31934,11675.41992,NULL
Angola,AO,Electricity,Supply,Electricity generated from nuclear power (GWh),GWh,/aep/country/angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
Angola,AO,Electricity,Supply,Electricity generated from renewable sources (GWh),GWh,/aep/country/angola,912,1017,1143,1241,1491,1747,2665,2497,3134,3173,3703,4007,4287.490234,4587.614258,5041,5192,5815,7653.07666,10374.32031,10754.78711,11187.31934,11675.41992,NULL
